Name,label,start,end,score,need_cut,more
v_fight_00000_t1,1,16,40,70,,
v_fight_00000_t1,5,40,1:15,90,,
v_fight_00009_t1,2,6,27,20,,o
v_fight_00009_t1,2,7:00,7:22,20,,o
v_fight_00010_t1,2,0,27,60,,
v_fight_00015_t1,4,4,25,10,,
v_fight_00015_t1,5,52,1:20,90,,
v_fight_00015_t1,5,1:20,1:40,130,,
v_fight_00018_t1,1,4,34,10,o,o
v_fight_00018_t1,2,3:31,3:51,30,o,o
v_fight_00028_t1,5,6,22,80,,
v_fight_00031_t1,3,5,33,100,o,o
v_fight_00048_t1,5,0,30,70,,
v_fight_00051_t1,1,0,25,10,,
v_fight_00063_t01,5,0,21,130,,
v_fight_00063_t01,5,1:22,1:32,130,,
v_fight_00063_t01,5,1:36,1:50,130,,
v_fight_00073_t1,1,11,26,70,,
v_fight_00073_t1,1,2:19,2:29,70,,
v_fight_00073_t1,2,2:32,3:00,120,o,
v_fight_00077_t0,7,4,14,0,,
v_fight_00078_t0,7,0,10,0,,
v_fight_00078_t0,7,2:20,2:30,0,,
v_fight_00080_t0,0,13,26,0,,o
v_fight_00089_t1,2,10,20,120,,
v_fight_00089_t1,2,25,40,120,,
v_fight_00090_t1,2,0,15,60,,
v_fight_00092_t1,2,20,32,20,,
v_fight_00099_t1,2,7,27,20,,
v_fight_00101_t1,6,0,15,150,,
v_fight_00101_t1,6,2:06,2:16,150,,
v_fight_00116_t1,5,0,12,140,,o
v_fight_00118_t0,0,29,41,0,,
v_fight_00121_t1,5,3,15,70,,
v_fight_00122_t1,3,31,40,160,,
v_fight_00123_t1,5,3,20,120,o,
v_fight_00127_t0,7,2,15,0,o,
v_fight_00131_t0,0,0,9,0,,o
v_fight_00135_t1,2,0,12,20,,
v_fight_00152_t1,2,4,15,30,,
v_fight_00165_t1,5,7,17,140,,o
v_fight_00165_t1,5,26,35,140,,o
v_fight_00174_t0,7,0,15,0,,
v_fight_00175_t0,0,9,18,0,,
v_fight_00175_t0,0,50,1:05,0,,
v_fight_00192_t1,5,13,17,110,,
