video_name,target
v_ApplyEyeMakeup_g01_c06,1
v_ApplyEyeMakeup_g05_c03,1
v_ApplyEyeMakeup_g06_c01,1
v_ApplyEyeMakeup_g15_c02,1
v_ApplyEyeMakeup_g15_c03,1
v_ApplyEyeMakeup_g16_c04,1
v_ApplyEyeMakeup_g17_c02,1
v_ApplyEyeMakeup_g18_c04,1
v_ApplyEyeMakeup_g20_c01,1
v_ApplyEyeMakeup_g21_c05,1
v_ApplyEyeMakeup_g24_c04,1
v_ApplyLipstick_g02_c04,2
v_ApplyLipstick_g03_c04,2
v_ApplyLipstick_g07_c02,2
v_ApplyLipstick_g07_c04,2
v_ApplyLipstick_g16_c03,2
v_ApplyLipstick_g17_c04,2
v_ApplyLipstick_g18_c03,2
v_ApplyLipstick_g19_c04,2
v_ApplyLipstick_g22_c06,2
v_Archery_g01_c03,3
v_Archery_g02_c06,3
v_Archery_g15_c07,3
v_Archery_g20_c01,3
v_Archery_g20_c04,3
v_Archery_g20_c06,3
v_Archery_g24_c02,3
v_Archery_g25_c05,3
v_BabyCrawling_g01_c02,4
v_BabyCrawling_g02_c02,4
v_BabyCrawling_g02_c04,4
v_BabyCrawling_g05_c01,4
v_BabyCrawling_g05_c05,4
v_BabyCrawling_g06_c04,4
v_BabyCrawling_g07_c05,4
v_BabyCrawling_g07_c06,4
v_BabyCrawling_g15_c05,4
v_BabyCrawling_g16_c04,4
v_BabyCrawling_g19_c04,4
v_BabyCrawling_g22_c01,4
v_BabyCrawling_g22_c02,4
v_BabyCrawling_g25_c01,4
v_BabyCrawling_g25_c04,4
v_BalanceBeam_g02_c02,5
v_BalanceBeam_g04_c03,5
v_BalanceBeam_g05_c03,5
v_BalanceBeam_g06_c02,5
v_BalanceBeam_g06_c03,5
v_BalanceBeam_g24_c04,5
v_BandMarching_g02_c01,6
v_BandMarching_g05_c06,6
v_BandMarching_g07_c01,6
v_BandMarching_g18_c03,6
v_BandMarching_g19_c07,6
v_BandMarching_g20_c06,6
v_BandMarching_g24_c04,6
v_BandMarching_g25_c01,6
v_BandMarching_g25_c04,6
v_BaseballPitch_g03_c02,7
v_BaseballPitch_g06_c06,7
v_BaseballPitch_g06_c07,7
v_BaseballPitch_g07_c02,7
v_BaseballPitch_g15_c03,7
v_BaseballPitch_g15_c06,7
v_BaseballPitch_g17_c02,7
v_BaseballPitch_g21_c01,7
v_BaseballPitch_g22_c04,7
v_Basketball_g01_c03,8
v_Basketball_g01_c04,8
v_Basketball_g02_c06,8
v_Basketball_g03_c02,8
v_Basketball_g06_c02,8
v_Basketball_g16_c03,8
v_Basketball_g20_c05,8
v_Basketball_g21_c02,8
v_Basketball_g23_c03,8
v_Basketball_g23_c04,8
v_Basketball_g24_c01,8
v_BasketballDunk_g02_c02,9
v_BasketballDunk_g04_c04,9
v_BasketballDunk_g06_c03,9
v_BasketballDunk_g06_c04,9
v_BasketballDunk_g07_c03,9
v_BasketballDunk_g07_c06,9
v_BasketballDunk_g17_c03,9
v_BasketballDunk_g18_c06,9
v_BasketballDunk_g19_c01,9
v_BasketballDunk_g20_c05,9
v_BasketballDunk_g21_c01,9
v_BasketballDunk_g22_c04,9
v_BasketballDunk_g24_c02,9
v_BasketballDunk_g25_c04,9
v_BenchPress_g03_c03,10
v_BenchPress_g05_c02,10
v_BenchPress_g05_c05,10
v_BenchPress_g06_c07,10
v_BenchPress_g16_c05,10
v_BenchPress_g19_c06,10
v_BenchPress_g20_c06,10
v_BenchPress_g23_c04,10
v_BenchPress_g25_c04,10
v_BenchPress_g25_c05,10
v_Biking_g02_c07,11
v_Biking_g03_c02,11
v_Biking_g03_c03,11
v_Biking_g04_c04,11
v_Biking_g05_c07,11
v_Biking_g07_c02,11
v_Biking_g07_c05,11
v_Biking_g15_c01,11
v_Biking_g17_c01,11
v_Biking_g18_c06,11
v_Biking_g21_c07,11
